Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
148,00:00:04.905,7.384250217013888,15.384114583333334,12.471028645833334,2.2686631944444446,7.413058810763889
149,00:00:04.938,6.843957971643519,16.345621744791668,11.546088324652779,2.103244357638889,6.882541232638889
150,00:00:04.972,5.793628833912038,14.927571614583334,9.435248480902779,1.8885633680555556,6.057074652777778
151,00:00:05.005,6.4583966290509265,12.506510416666666,10.71267361111111,1.9144965277777777,6.748019748263889
152,00:00:05.038,6.122775607638889,13.647867838541666,10.016899956597221,1.9301486545138888,6.421278211805555
153,00:00:05.072,7.762080439814816,14.851481119791666,13.227891710069445,2.0448404947916665,8.013509114583334
154,00:00:05.105,6.04663990162037,14.782307942708334,10.107476128472221,1.7812228732638888,6.251220703125
155,00:00:05.138,6.142985026041667,13.468017578125,10.263102213541666,1.7658420138888888,6.400010850694445
156,00:00:05.172,5.383273654513888,13.952229817708334,8.702067057291666,1.700927734375,5.746826171875
157,00:00:05.205,5.625027126736112,14.388020833333334,9.089463975694445,1.660400390625,6.125217013888889
158,00:00:05.239,5.199291087962963,14.145914713541666,8.129204644097221,1.6968587239583333,5.771809895833333
159,00:00:05.272,4.957049334490741,12.146809895833334,7.782931857638889,1.6815049913194444,5.406711154513889
160,00:00:05.305,5.837131076388889,12.644856770833334,9.322862413194445,1.777099609375,6.411431206597222
161,00:00:05.339,8.183485243055555,16.677652994791668,13.800238715277779,2.0972493489583335,8.652967664930555
162,00:00:05.372,6.239845558449075,17.542317708333332,9.92165798611111,1.9213053385416667,6.876573350694445
163,00:00:05.405,6.716796875,16.276448567708332,11.202962239583334,1.9812554253472223,6.966172960069445
164,00:00:05.439,6.466091579861111,16.3525390625,10.230278862847221,2.103786892361111,7.064208984375
165,00:00:05.472,6.375307436342593,15.806070963541666,10.377604166666666,2.029541015625,6.718777126736111
166,00:00:05.506,6.029938874421295,14.311930338541666,9.567301432291666,2.0569390190972223,6.465576171875
167,00:00:05.539,7.359818070023149,15.446370442708334,12.2890625,2.1451822916666665,7.645209418402778
168,00:00:05.572,9.021972656249998,17.355550130208332,15.484049479166666,2.3233235677083335,9.258544921875
169,00:00:05.606,10.912778501157407,16.719156901041668,16.371202256944443,2.7376030815972223,13.629530164930555
170,00:00:05.639,8.055085358796296,13.924560546875,13.883599175347221,2.0540093315972223,8.227647569444445
171,00:00:05.672,10.039948640046296,16.80908203125,15.40163845486111,2.595974392361111,12.122233072916666
172,00:00:05.706,6.231897424768518,15.633138020833334,10.032362196180555,1.9342990451388888,6.729031032986111
173,00:00:05.739,8.151041666666666,13.122151692708334,13.748399522569445,2.059597439236111,8.645128038194445
174,00:00:05.772,6.651240596064816,14.6923828125,10.898003472222221,2.0248209635416665,7.030897352430555
175,00:00:05.806,6.134991681134259,13.07373046875,10.248453776041666,1.8857693142361112,6.270751953125
176,00:00:05.839,7.839888961226852,15.667724609375,13.343505859375,2.1978624131944446,7.978298611111111
177,00:00:05.873,7.259006076388889,16.262613932291668,12.297932942708334,2.092068142361111,7.387017144097222
178,00:00:05.906,6.083387586805556,14.049072265625,10.105170355902779,1.9687228732638888,6.17626953125
179,00:00:05.939,6.0656919126157405,13.447265625,10.016248914930555,1.9212510850694444,6.259575737847222
180,00:00:05.973,6.412290219907407,12.105305989583334,10.575059678819445,1.9634874131944444,6.698323567708333
181,00:00:06.006,58.52487521701389,62.96142578125,63.40839301215278,66.55818684895833,45.60804578993056
182,00:00:06.039,15.249475549768519,26.68701171875,12.928059895833334,16.277208116319443,16.54315863715278
183,00:00:06.073,16.32249168113426,27.890625,14.772271050347221,16.678114149305557,17.51708984375
184,00:00:06.106,18.243335865162035,32.407633463541664,16.45486111111111,17.87567816840278,20.39946831597222
185,00:00:06.139,22.080810546875,40.106608072916664,20.6005859375,20.837809244791668,24.804036458333332
186,00:00:06.173,25.230830439814813,52.025146484375,24.50678168402778,23.128309461805557,28.05740017361111
187,00:00:06.206,25.064561631944443,49.860026041666664,25.47854275173611,22.467122395833332,27.24801974826389
188,00:00:06.240,25.18968822337963,43.53759765625,27.41718207465278,22.31513129340278,25.836751302083332
189,00:00:06.273,25.762776692708332,44.423014322916664,29.233154296875,22.739095052083332,25.316080729166668
190,00:00:06.306,25.058539496527782,43.067220052083336,28.77761501736111,22.55536566840278,23.842637803819443
191,00:00:06.340,22.521086516203706,39.912923177083336,26.23247612847222,20.336073133680557,20.994710286458332
192,00:00:06.373,22.263084129050924,39.71923828125,26.15985785590278,20.062255859375,20.567138671875
193,00:00:06.406,22.299216941550924,41.234130859375,25.954915364583332,19.762830946180557,21.17990451388889
194,00:00:06.440,21.168149594907405,38.799235026041664,25.00537109375,18.369954427083332,20.12912326388889
195,00:00:06.473,20.763038917824073,39.546305338541664,24.88916015625,18.11284722222222,19.287109375
196,00:00:06.506,19.873951099537038,37.581787109375,24.47287326388889,17.0322265625,18.11675347222222
197,00:00:06.540,19.882170500578706,40.404052734375,24.29473198784722,18.49509006076389,16.856689453125
198,00:00:06.573,21.53469509548611,42.54150390625,24.78662109375,21.58767361111111,18.22979058159722
199,00:00:06.607,21.688422309027775,41.697591145833336,24.14748806423611,22.40896267361111,18.50881618923611
200,00:00:06.640,21.754340277777775,46.643473307291664,24.40082465277778,22.21926540798611,18.642930772569443
201,00:00:06.673,21.759539568865744,43.523763020833336,23.850504557291668,22.6328125,18.795301649305557
202,00:00:06.707,20.773564091435187,40.452473958333336,22.784071180555557,21.73583984375,17.80078125
203,00:00:06.740,20.814100477430554,40.929768880208336,22.57744683159722,21.920735677083332,17.94411892361111
204,00:00:06.773,20.774920428240744,39.705403645833336,22.461588541666668,21.84621853298611,18.016954210069443
205,00:00:06.807,18.587727864583332,32.386881510416664,20.47235785590278,19.033447265625,16.25737847222222
206,00:00:06.840,14.575493706597221,22.425944010416668,16.777940538194443,13.794270833333334,13.15426974826389
207,00:00:06.874,12.341028284143519,21.1669921875,14.333170572916666,10.883978949652779,11.80593532986111
208,00:00:06.907,13.182373046875,21.9970703125,13.726019965277779,12.355116102430555,13.465983072916666
209,00:00:06.940,13.797444661458334,24.058430989583332,14.636338975694445,12.726264105902779,14.029730902777779
210,00:00:06.974,10.571135344328704,17.500813802083332,12.438829210069445,9.071424696180555,10.20315212673611
